Code	Title	TitleEN	Disease_CMAUP	Disease_Category_CMAUP
GA91.0	慢性前列腺炎	Chronic prostatitis	Chronic prostatitis	16.Diseases of the genitourinary system
BA5Y	其他特指的慢性缺血性心脏病	Other specified chronic ischaemic heart disease	Other specified chronic ischaemic heart disease	11.Diseases of the circulatory system
VV3Y	其他特指的心血管、血液、免疫和呼吸系统功能	Other specified functions of the cardiovascular, haematological, immunological and respiratory systems	Other specified functions of the cardiovascular, haematological, immunological and respiratory systems	V.Supplementary section for functioning assessment
9A02.0Z	未特指的睑板腺囊肿	Chalazion, unspecified	Chalazion, unspecified	09.Diseases of the visual system
FB84	骨髓炎或骨炎	Osteomyelitis or osteitis	Osteomyelitis or osteitis	15.Diseases of the musculoskeletal system or connective tissue
1C20	衣原体性结膜炎	Chlamydial conjunctivitis	Chlamydial conjunctivitis	01.Certain infectious or parasitic diseases
5B80.0	超重	Overweight	Overweight	05.Endocrine, nutritional or metabolic diseases
MD81.4	其他和未特指的腹痛	Other and unspecified abdominal pain	Other and unspecified abdominal pain	21.Symptoms, signs or clinical findings, not elsewhere classified
MA14	血液、造血器官或免疫系统的免疫学所见	Immunological findings in blood, blood-forming organs, or the immune system	Blood/blood-forming organ sympton	21.Symptoms, signs or clinical findings, not elsewhere classified
2A01	原发性脑脊膜肿瘤	Primary neoplasms of meninges	Meningioma	02.Neoplasms
1F86	血吸虫病	Schistosomiasis	Schistosomiasis	01.Certain infectious or parasitic diseases
6D8Z	不明或未特指原因的痴呆	Dementia, unknown or unspecified cause	Dementia, unknown or unspecified cause	06.Mental, behavioural or neurodevelopmental disorders
BA5Z	未特指的慢性缺血性心脏病	Chronic ischaemic heart disease, unspecified	Chronic ischaemic heart disease, unspecified	11.Diseases of the circulatory system
7A4Z	未特指的睡眠相关呼吸障碍	Sleep-related breathing disorders, unspecified	Sleep-related breathing disorder	07.Sleep-wake disorders
EE40	真皮或皮下结缔组织的萎缩或退化	Atrophy or degeneration of dermal or subcutaneous connective tissue	Dermal/subcutaneous connective tissue atrophy/degeneration	14.Diseases of the skin
BC63	传导疾患	Conduction disorders	Conduction disorder	11.Diseases of the circulatory system
BE2Z	未特指的循环系统疾病	Diseases of the circulatory system, unspecified	Circulatory system disease	11.Diseases of the circulatory system
ME64	非特异性皮肤血管征	Non-specific cutaneous vascular signs	Non-specific cutaneous vascular sympton	21.Symptoms, signs or clinical findings, not elsewhere classified
BC71	快速室性心律失常	Ventricular tachyarrhythmia	Ventricular tachyarrhythmia	11.Diseases of the circulatory system
CA20	支气管炎	Bronchitis	Bronchitis	12.Diseases of the respiratory system
MD11.Y	其他特指的呼吸异常	Other specified abnormalities of breathing	Other specified abnormalities of breathing	21.Symptoms, signs or clinical findings, not elsewhere classified
4A84	严重过敏反应	Anaphylaxis	Anaphylaxis	04.Diseases of the immune system
CA08.03	其他变应性鼻炎	Other allergic rhinitis	Other allergic rhinitis	12.Diseases of the respiratory system
2F92	皮肤生物学行为未知的肿瘤	Neoplasms of unknown behaviour of skin	Neoplasms of unknown behaviour of skin	02.Neoplasms
MD22	咯血	Haemoptysis	Haemoptysis	21.Symptoms, signs or clinical findings, not elsewhere classified
2F37.Y	其他特指的内分泌腺良性肿瘤	Other specified benign neoplasm of endocrine glands	Other specified benign neoplasm of endocrine glands	02.Neoplasms
DB10	阑尾炎	Appendicitis	Appendicitis	13.Diseases of the digestive system
BC71.1	心室纤颤	Ventricular fibrillation	Ventricular fibrillation	11.Diseases of the circulatory system
ME24.9Z	未特指的胃肠出血	Gastrointestinal bleeding, unspecified	Gastrointestinal bleeding, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
FB53.1	肩袖综合征	Rotator cuff syndrome	Rotator cuff syndrome	15.Diseases of the musculoskeletal system or connective tissue
GC00	膀胱炎	Cystitis	Cystitis	16.Diseases of the genitourinary system
JB03	滞产	Long labour	Long labour	18.Pregnancy, childbirth or the puerperium
JA8D.Z	假临产相关的孕产妇医疗，未特指的	Maternal care related to false labour, unspecified	Maternal care related to false labour, unspecified	18.Pregnancy, childbirth or the puerperium
ED54	皮肤干燥或皮脂缺乏	Xerosis cutis or asteatosis	Xerosis cutis or asteatosis	14.Diseases of the skin
9A02.1	后部睑缘炎	Posterior blepharitis	Posterior blepharitis	09.Diseases of the visual system
VV80	基本学习	Basic learning	Basic learning	V.Supplementary section for functioning assessment
1A31	贾第虫病	Giardiasis	Giardiasis	01.Certain infectious or parasitic diseases
HA00	性欲低下障碍	Hypoactive sexual desire dysfunction	Sexual dysfunctions	17.Conditions related to sexual health
HA0Z	未特指的性功能障碍	Sexual dysfunctions, unspecified	Sexual dysfunctions	17.Conditions related to sexual health
XH3FD4	卵巢实体假乳头状瘤	Solid pseudopapillary tumor of ovary	Unspecified Adult Solid Tumor;Protocol Specific	X.Extension Codes
XH3AE9	胰腺实性假乳头状瘤	Solid pseudopapillary neoplasm of pancreas	Unspecified Adult Solid Tumor;Protocol Specific	X.Extension Codes
BD40.1	主动脉粥样硬化	Atherosclerosis of aorta	Atherosclerosis of aorta	11.Diseases of the circulatory system
XD5GV0	C反应蛋白	C-REACTIVE PROTEIN	C-REACTIVE PROTEIN	X.Extension Codes
2C82	前列腺恶性肿瘤	Malignant neoplasms of prostate	Malignant neoplasms of prostate	02.Neoplasms
2B91.Z	未特指的直肠乙状结肠交界处恶性肿瘤	Malignant neoplasms of rectosigmoid junction, unspecified	Malignant neoplasms of rectosigmoid junction, unspecified	02.Neoplasms
DA0E.7	牙面机能异常疾患	Dentofacial parafunctional disorders	Dentofacial parafunctional disorders	13.Diseases of the digestive system
1B98	猫抓病	Cat-scratch disease	Cat-scratch disease	01.Certain infectious or parasitic diseases
1B74	浅表性细菌性毛囊炎	Superficial bacterial folliculitis	Superficial bacterial folliculitis	01.Certain infectious or parasitic diseases
1B93	鼠疫	Plague	Plague	01.Certain infectious or parasitic diseases
PK81.0	在治疗中采用与损伤或伤害有关的肺通气	Ventilation associated with injury or harm in therapeutic use	Ventilation associated with injury or harm in therapeutic use	23.External causes of morbidity or mortality
AB31.0	梅尼埃病	Meniere disease	Meniere disease	10.Diseases of the ear or mastoid process
JA88.1	羊膜囊或胎膜感染	Infection of amniotic sac or membranes	Infection of amniotic sac or membranes	18.Pregnancy, childbirth or the puerperium
CA00	急性鼻咽炎	Acute nasopharyngitis	Acute nasopharyngitis	12.Diseases of the respiratory system
CA07.0	急性上呼吸道感染， 部位未特指	Acute upper respiratory infection, site unspecified	Acute upper respiratory infection, site unspecified	12.Diseases of the respiratory system
EB21	坏疽性脓皮病	Pyoderma gangrenosum	Pyoderma gangrenosum	14.Diseases of the skin
CA42	急性支气管炎	Acute bronchitis	Acute bronchitis	12.Diseases of the respiratory system
5C81.0	低α脂蛋白血症	Hypoalphalipoproteinaemia	Hypoalphalipoproteinaemia	05.Endocrine, nutritional or metabolic diseases
8A67	急性反复性癫痫发作	Acute repetitive seizures	Acute repetitive seizures	08.Diseases of the nervous system
8A62.2	获得性癫痫性失语	Acquired epileptic aphasia	Acquired epileptic aphasia	08.Diseases of the nervous system
EB40	天疱疮	Pemphigus	Pemphigus	14.Diseases of the skin
EB00	自发性荨麻疹	Spontaneous urticaria	Spontaneous urticaria	14.Diseases of the skin
BA41	急性心肌梗死	Acute myocardial infarction	Heart disease	11.Diseases of the circulatory system
BA42	随后性心肌梗死	Subsequent myocardial infarction	Heart disease	11.Diseases of the circulatory system
XH7PW5	淋巴细胞白血病，NOS	Lymphocytic leukaemia, NOS	Lymphocytic leukaemia, NOS	X.Extension Codes
5C7Y	其他特指的体液、电解质或酸碱平衡紊乱	Other specified disorders of fluid, electrolyte or acid-base balance	Other specified disorders of fluid, electrolyte or acid-base balance	05.Endocrine, nutritional or metabolic diseases
MF50.2Z	未特指的尿失禁	Urinary incontinence, unspecified	Urinary incontinence, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
XM4YU2	车前子亲水胶浆	Psyllium hydrophilic mucilloid	Psyllium hydrophilic mucilloid	X.Extension Codes
1D92	未特指部位的冠状病毒感染	Coronavirus infection, unspecified site	Coronavirus infection, unspecified site	01.Certain infectious or parasitic diseases
MD90.1	呕吐	Vomiting	Vomiting	21.Symptoms, signs or clinical findings, not elsewhere classified
NF08.3	晕动病	Motion sickness	Motion Sickness	22.Injury, poisoning or certain other consequences of external causes
6D70	谵妄	Delirium	Delirium	06.Mental, behavioural or neurodevelopmental disorders
8B1Z	未特指的脑缺血	Cerebral ischaemia, unspecified	Cerebral ischaemia, unspecified	08.Diseases of the nervous system
1D20	登革热不伴前驱征兆	Dengue without warning signs	dengue	01.Certain infectious or parasitic diseases
1D2Z	登革热，未特指的	Dengue fever, unspecified	dengue	01.Certain infectious or parasitic diseases
KB21	出生窒息	Birth asphyxia	Birth asphyxia	19.Certain conditions originating in the perinatal period
KA60	胎儿或新生儿脓毒症	Sepsis of fetus or newborn	Sepsis of fetus or newborn	19.Certain conditions originating in the perinatal period
3B11	遗传性因子IX缺乏	Hereditary factor IX deficiency	Christmas disease	03.Diseases of the blood or blood-forming organs
BD72	静脉血栓栓塞	Venous thromboembolism	Venous thromboembolism	11.Diseases of the circulatory system
XH1S75	黏液腺癌	Mucinous adenocarcinoma	Mucinous adenocarcinoma	X.Extension Codes
XH3EA2	鳞状上皮内肿瘤，高级别	Squamous intraepithelial neoplasia, high grade	Squamous intraepithelial neoplasia, high grade	X.Extension Codes
2F91.0	喉生物学行为未知的肿瘤	Neoplasms of unknown behaviour of larynx	Neoplasms of unknown behaviour of larynx	02.Neoplasms
XH4UE6	神经瘤，NOS	Neuroma, NOS	Neuroma, NOS	X.Extension Codes
2C17	胆道其他或未特指部位的恶性肿瘤	Malignant neoplasms of other or unspecified parts of biliary tract	Malignant neoplasms of other or unspecified parts of biliary tract	02.Neoplasms
MG30.5Z	未特指的慢性神经性疼痛	Chronic neuropathic pain, unspecified	Chronic neuropathic pain, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
2C20	鼻腔恶性肿瘤	Malignant neoplasms of nasal cavity	Malignant neoplasms of nasal cavity	02.Neoplasms
8A85	疼痛性脑神经病或其他颜面痛	Painful cranial neuropathies or other facial pains	Painful cranial neuropathies or other facial pains	08.Diseases of the nervous system
2C31.0	皮肤疣状鳞状细胞癌	Verrucous squamous cell carcinoma of skin	skin carcinoma	02.Neoplasms
2E67.40	阴茎皮肤鳞状细胞原位癌	Squamous cell carcinoma in situ of skin of penis	skin carcinoma	02.Neoplasms
9B78	某些特指的视网膜疾患	Certain specified retinal disorders	Vitreoretinopathy	09.Diseases of the visual system
2C23.Z	未特指的喉恶性肿瘤	Malignant neoplasms of larynx, unspecified	Malignant neoplasms of larynx, unspecified	02.Neoplasms
XH4546	印戒细胞癌	Signet ring cell carcinoma	Signet ring cell carcinoma	X.Extension Codes
CA08.1	非变应性鼻炎	Non-allergic rhinitis	Non-allergic rhinitis	12.Diseases of the respiratory system
1F41	间日疟	Malaria due to Plasmodium vivax	Malaria due to Plasmodium vivax	01.Certain infectious or parasitic diseases
DA0B.Y	其他特指的牙龈疾病	Other specified gingival diseases	Other specified gingival diseases	13.Diseases of the digestive system
XH9HQ1	胃肠道间质瘤	Gastrointestinal stromal tumour	Gastrointestinal stromal tumour	X.Extension Codes
EA85.0	手足水疱性皮炎	Vesicular dermatitis of hands or feet	Vesicular dermatitis of hands and feet	14.Diseases of the skin
8A00.10	进行性核上性麻痹	Progressive supranuclear palsy	Progressive supranuclear palsy	08.Diseases of the nervous system
8B61	脊肌萎缩症	Spinal muscular atrophy	Spinal muscular atrophy	08.Diseases of the nervous system
5A51	甲状旁腺功能亢进症	Hyperparathyroidism	Hyper-parathyroidism	05.Endocrine, nutritional or metabolic diseases
GC01.4	膀胱神经肌肉功能障碍，不可归类在他处者	Neuromuscular dysfunction of bladder, not elsewhere classified	Neuromuscular dysfunction of bladder, not elsewhere classified	16.Diseases of the genitourinary system
GC08.Z	泌尿道感染，部位和病原体未特指	Urinary tract infection, site and agent not specified	Urinary tract infection, site and agent not specified	16.Diseases of the genitourinary system
MF97	脓尿	Pyuria	Pyuria	21.Symptoms, signs or clinical findings, not elsewhere classified
GB23	某些特质的乳房疾患	Certain specified disorders of breast	Certain specified disorders of breast	16.Diseases of the genitourinary system
2F9Z	未特指部位的生物学行为未知的肿瘤	Neoplasms of unknown behaviour of unspecified site	Neoplasms of unknown behaviour of unspecified site	02.Neoplasms
VV12	痛觉	Sensation of pain	Sensation of pain	V.Supplementary section for functioning assessment
2B33.4	白血病，未特指	Leukaemia, unspecified	Leukaemia, unspecified	02.Neoplasms
9C40.1	视神经炎	Optic neuritis	Optic neuritis	09.Diseases of the visual system
GA18.6	其他或未特指的卵巢囊肿	Other or unspecified ovarian cysts	Other or unspecified ovarian cysts	16.Diseases of the genitourinary system
CA40.11	呼吸道合胞病毒引起的肺炎	Pneumonia due to Respiratory syncytial virus	Pneumonia due to Respiratory syncytial virus	12.Diseases of the respiratory system
DA01	口腔黏膜疾患	Disorders of oral mucosa	Disorders of oral mucosa	13.Diseases of the digestive system
LA11.62	瞳孔功能异常	Anomalies of pupillary function	Anomalies of pupillary function	20.Developmental anomalies
1B72	脓疱病	Impetigo	Impetigo	01.Certain infectious or parasitic diseases
9B73	视网膜脱离或裂孔	Retinal detachments or breaks	Retinal detachment	09.Diseases of the visual system
9B7Y	其他特指的视网膜疾患	Other specified disorders of the retina	Other specified disorders of the retina	09.Diseases of the visual system
6C43.2Z	未特指的阿片类物质依赖	Opioid dependence, unspecified	Opioid dependence, unspecified	06.Mental, behavioural or neurodevelopmental disorders
CB21	气胸	Pneumothorax	Pneumothorax	12.Diseases of the respiratory system
DA09.7	根尖周炎	Periapical periodontitis	Periapical periodontitis	13.Diseases of the digestive system
VV5Y	其他特指的泌尿和生殖功能	Other specified genitourinary and reproductive functions	Other specified genitourinary and reproductive functions	V.Supplementary section for functioning assessment
KA21.4	早产儿	Preterm newborn	Preterm newborn	19.Certain conditions originating in the perinatal period
5A81.1	睾丸功能减退症	Testicular hypofunction	Testicular hypofunction	05.Endocrine, nutritional or metabolic diseases
EC91	痒疹	Prurigo	Prurigo	14.Diseases of the skin
DB32	大肠动力障碍	Motility disorders of large intestine	Large intestine motility disorder	13.Diseases of the digestive system
8B11.1	颅内大动脉粥样硬化引起的缺血性脑卒中	Cerebral ischaemic stroke due to intracranial large artery atherosclerosis	Cerebral ischaemic stroke due to intracranial large artery atherosclerosis	08.Diseases of the nervous system
8B11.51	未特指的颅内大动脉闭塞或狭窄引起的缺血性脑卒中	Cerebral ischaemic stroke due to unspecified occlusion or stenosis of intracranial large artery	Cerebral ischaemic stroke due to unspecified occlusion or stenosis of intracranial large artery	08.Diseases of the nervous system
8B10	短暂性脑缺血发作	Transient ischaemic attack	Transient ischaemic attack	08.Diseases of the nervous system
FB31	肌肉钙化或骨化	Calcification or ossification of muscle	Muscle calcification/ossification	15.Diseases of the musculoskeletal system or connective tissue
1F61	异尖线虫病	Anisakiasis	Kinetoplastids	01.Certain infectious or parasitic diseases
1G2Z	未特指的寄生虫病	Unspecified parasitic diseases	Kinetoplastids	01.Certain infectious or parasitic diseases
9D45	光敏度损害	Impairment of light sensitivity	Light sensitivity impairment	09.Diseases of the visual system
2E63.00	恶性小痣	Lentigo maligna	Lentigo maligna	02.Neoplasms
EE40.1	白纹	Stretch marks	Stretch marks	14.Diseases of the skin
4A41	特发性炎性肌病	Idiopathic inflammatory myopathy	Idiopathic inflammatory myopathy	04.Diseases of the immune system
XM9DH8	治疗丙型肝炎病毒感染的抗病毒药物	Antivirals for treatment of hepatitis C infections	Antivirals for treatment of hepatitis C infections	X.Extension Codes
ME63	性质未确定或未特指的慢性皮肤疾病	Chronic skin disorder of uncertain or unspecified nature	Chronic skin disorder	21.Symptoms, signs or clinical findings, not elsewhere classified
BC9Z	未特指的心律失常	Cardiac arrhythmia, unspecified	Cardiac arrhythmia, unspecified	11.Diseases of the circulatory system
BE2Y	其他特指的循环系统疾病	Other specified diseases of the circulatory system	Other specified diseases of the circulatory system	11.Diseases of the circulatory system
LD2H.Y	其他特指的遗传性耳聋综合征	Other specified syndromic genetic deafness	Other specified syndromic genetic deafness	20.Developmental anomalies
4A00.14	遗传性血管性水肿	Hereditary angioedema	Hereditary angioedema	04.Diseases of the immune system
BC81.Z	未特指的室上性快速性心律失常	Supraventricular tachyarrhythmia, unspecified	Supraventricular tachyarrhythmia, unspecified	11.Diseases of the circulatory system
ME24.A5	呕血	Haematemesis	Haematemesis	21.Symptoms, signs or clinical findings, not elsewhere classified
1C4Z	未特指的细菌性疾病	Unspecified bacterial disease	Unspecified bacterial disease	01.Certain infectious or parasitic diseases
MF50.3	尿潴留	Retention of urine	Retention of urine	21.Symptoms, signs or clinical findings, not elsewhere classified
GB7Z	未特指的尿石病	Urolithiasis, unspecified	Urolithiasis, unspecified	16.Diseases of the genitourinary system
GB70.1	输尿管结石	Calculus of ureter	Calculus of ureter	16.Diseases of the genitourinary system
4B20	结节病	Sarcoidosis	Sarcoidosis	04.Diseases of the immune system
DD90.3	功能性消化不良	Functional dyspepsia	Functional dyspepsia	13.Diseases of the digestive system
DD90.3	功能性消化不良	Functional dyspepsia	Postprandial Distress Syndrome	13.Diseases of the digestive system
8A45.00	人类T细胞嗜淋巴病毒相关脊髓病	Human T-cell lymphotropic virus-associated myelopathy	Human T-cell lymphotropic virus-associated myelopathy	08.Diseases of the nervous system
GC2Z	未特指的泌尿系统疾病	Diseases of the urinary system, unspecified	Diseases of the urinary system, unspecified	16.Diseases of the genitourinary system
DA24.1	嗜酸性粒细胞性食管炎	Eosinophilic oesophagitis	Eosinophilic oesophagitis	13.Diseases of the digestive system
EB00	自发性荨麻疹	Spontaneous urticaria	Urticaria	14.Diseases of the skin
EB05	未特指类型的荨麻疹	Urticaria of unspecified type	Urticaria	14.Diseases of the skin
2D51	脑脊膜转移性恶性肿瘤	Malignant neoplasm metastasis in meninges	Metastatic meninges neoplasm	02.Neoplasms
GB8Y	其他特指的囊性或发育不良性肾病	Other specified cystic or dysplastic kidney disease	Cystic/dysplastic kidney disease	16.Diseases of the genitourinary system
1F57	弓形虫病	Toxoplasmosis	Toxoplasmosis	01.Certain infectious or parasitic diseases
MC81	心脏搏动异常	Abnormalities of heart beat	Heart beat abnormality	21.Symptoms, signs or clinical findings, not elsewhere classified
3A02	叶酸盐缺乏性贫血	Folate deficiency anaemia	Folate deficiency anaemia	03.Diseases of the blood or blood-forming organs
LD28.0	马凡综合征或马凡相关疾患	Marfan syndrome or Marfan-related disorders	Marfan syndrome or Marfan-related disorders	20.Developmental anomalies
MG45.Z	未特指的晕厥和虚脱	Syncope or collapse, unspecified	Syncope and collapse, unspecified	21.Symptoms, signs or clinical findings, not elsewhere classified
2E81	良性血管肿瘤	Benign vascular neoplasms	Hemangioma	02.Neoplasms
2F2Y	其他特指的皮肤良性肿瘤	Other specified benign cutaneous neoplasms	Hemangioma	02.Neoplasms
DA26.0	食管静脉曲张	Oesophageal varices	Oesophageal varices	13.Diseases of the digestive system
FB53	肩关节病变	Shoulder lesions	Shoulder lesion	15.Diseases of the musculoskeletal system or connective tissue
LA90.00	遗传性出血性毛细血管扩张症	Hereditary haemorrhagic telangiectasia	Hereditary haemorrhagic telangiectasia	20.Developmental anomalies
ME04	腹水	Ascites	Ascites	21.Symptoms, signs or clinical findings, not elsewhere classified
DB98.7	门静脉高压	Portal hypertension	Portal hypertension	13.Diseases of the digestive system
8B22.41	脑海绵状血管畸形	Cerebral cavernous malformation	Cerebral cavernous malformation	08.Diseases of the nervous system
QE84	急性应激反应	Acute stress reaction	Acute stress reaction	24.Factors influencing health status or contact with health services
BD93	淋巴水肿	Lymphoedema	Lymphoedema	11.Diseases of the circulatory system
XH17Q9	乳头状瘤，NOS	Papilloma, NOS	Postmenopausal osteoporosis	X.Extension Codes
2A82.00	慢性B细胞型淋巴细胞白血病	Chronic lymphocytic leukaemia of B-cell type	Chronic lymphocytic leukaemia of B-cell type	02.Neoplasms
8E7Y	其他特指的神经系统疾病	Other specified diseases of the nervous system	Other specified diseases of the nervous system	08.Diseases of the nervous system
9B71.1	高血压性视网膜病变	Hypertensive retinopathy	Hypertension Stage 1	09.Diseases of the visual system
2C75	胎盘恶性肿瘤	Malignant neoplasms of placenta	Malignant trophoblastic neoplasms of placenta	02.Neoplasms
JA02	葡萄胎妊娠	Molar pregnancy	Malignant trophoblastic neoplasms of placenta	02.Neoplasms
5A80.3	无排卵	Anovulation	Anovulation	05.Endocrine, nutritional or metabolic diseases
JA00.0	自然流产	Spontaneous abortion	Spontaneous abortion	18.Pregnancy, childbirth or the puerperium
GB04.0	无精子症	Azoospermia	Azoospermia	16.Diseases of the genitourinary system
DB99.4	肝肺综合征	Hepatopulmonary syndrome	Hepatopulmonary syndrome	13.Diseases of the digestive system
GA11	子宫肌腺病	Adenomyosis	Adenomyosis	16.Diseases of the genitourinary system
2C61.1	乳腺侵袭性小叶性癌	Invasive lobular carcinoma of breast	Invasive lobular carcinoma of breast	02.Neoplasms
9D50	视物不适	Visual discomfort	Visual discomfort	09.Diseases of the visual system
KD35	母体使用成瘾药物所致的新生儿戒断综合征	Neonatal withdrawal syndrome from maternal use of drugs of addiction	Neonatal withdrawal syndrome from maternal use of drugs of addiction	19.Certain conditions originating in the perinatal period
MF56	肾绞痛	Renal colic	Renal colic	21.Symptoms, signs or clinical findings, not elsewhere classified
FA70.1	脊柱侧凸	Scoliosis	Scoliosis	15.Diseases of the musculoskeletal system or connective tissue
FA80	椎间盘退变	Intervertebral disc degeneration	Intervertebral disc degeneration	15.Diseases of the musculoskeletal system or connective tissue
FA5Z	未特指的关节病	Arthropathies, unspecified	Arthropathies, unspecified	15.Diseases of the musculoskeletal system or connective tissue
DB30.Y	其他特指的大肠梗阻	Other specified obstruction of large intestine	intestinal obstruction	13.Diseases of the digestive system
DB30.Z	未特指的大肠梗阻	Obstruction of large intestine, unspecified	intestinal obstruction	13.Diseases of the digestive system
NA82.3	肋骨骨折	Fracture of rib	Fracture of rib	22.Injury, poisoning or certain other consequences of external causes
ND32	累及多个身体区域的骨折	Fractures involving multiple body regions	Fractures involving multiple body regions	22.Injury, poisoning or certain other consequences of external causes
8C01.0	急性炎性脱髓鞘性多发性神经病	Acute inflammatory demyelinating polyneuropathy	Acute inflammatory demyelinating polyneuropathy	08.Diseases of the nervous system
GA91	前列腺炎性和其他疾病	Inflammatory or other diseases of prostate	Prostate disease	16.Diseases of the genitourinary system
5A44	胰岛素抵抗综合征	Insulin-resistance syndromes	Insulin-resistance syndrome	05.Endocrine, nutritional or metabolic diseases
BC65	与遗传病相关的心律失常	Cardiac arrhythmia associated with genetic disorder	Genetic cardiac arrhythmia	11.Diseases of the circulatory system
5C63.22	低血磷酸盐性佝偻病	Hypophosphataemic rickets	Hypophosphataemic rickets	05.Endocrine, nutritional or metabolic diseases
3B20	弥散性血管内凝血	Disseminated intravascular coagulation	Disseminated intravascular coagulation	03.Diseases of the blood or blood-forming organs
XH4TC2	骨的巨细胞瘤，NOS	Giant cell tumour of bone, NOS	Giant cell tumour of bone, NOS	X.Extension Codes
LD24.K0	成骨不全	Osteogenesis imperfecta	Osteogenesis imperfecta	20.Developmental anomalies
FB85.Z	未特指的Paget骨病	Paget disease of bone, unspecified	Paget disease of bone, unspecified	15.Diseases of the musculoskeletal system or connective tissue
5A51.0	原发性甲状旁腺功能亢进症	Primary hyperparathyroidism	Primary hyperparathyroidism	05.Endocrine, nutritional or metabolic diseases
NC72.2	股骨颈骨折	Fracture of neck of femur	Fracture of neck of femur	22.Injury, poisoning or certain other consequences of external causes
5B5K.1Z	未特指的钙缺乏	Calcium deficiency, unspecified	Calcium deficiency, unspecified	05.Endocrine, nutritional or metabolic diseases
1C80	病毒性脑炎，不可归类在他处者	Viral encephalitis, not elsewhere classified	Viral encephalitis	01.Certain infectious or parasitic diseases
DB50	肛裂或肛瘘	Fissure or fistula of anal regions	Anal fissure/fistula	13.Diseases of the digestive system
DD70.Y	其他特指部位的克罗恩病	Crohn disease of other specified site	Crohn disease of other specified site	13.Diseases of the digestive system
BC45	心脏肥大	Cardiomegaly	Cardiomegaly	11.Diseases of the circulatory system
BB60	二尖瓣狭窄	Mitral valve stenosis	Mitral valve stenosis	11.Diseases of the circulatory system
JA89.3	足月前胎膜早破	Preterm premature rupture of membranes	Preterm premature rupture of membranes	18.Pregnancy, childbirth or the puerperium
JA88.0	羊水过少	Oligohydramnios	Oligohydramnios	18.Pregnancy, childbirth or the puerperium
1B7Y	其他特指的皮肤或皮下组织化脓性细菌感染	Other specified pyogenic bacterial infection of skin or subcutaneous tissue	Other specified pyogenic bacterial infection of skin and subcutaneous tissue	01.Certain infectious or parasitic diseases
1F50	棘阿米巴病	Acanthamoebiasis	Acanthamoebiasis	01.Certain infectious or parasitic diseases
9A24.0	眼眶收缩	Contraction of orbit	contracture	09.Diseases of the visual system
FB51.Y	其他特指的成纤维细胞疾患	Other specified fibroblastic disorders	contracture	09.Diseases of the visual system
MB47.0	反射异常	Abnormal reflex	Abnormal reflex	21.Symptoms, signs or clinical findings, not elsewhere classified
MF50.2	尿失禁	Urinary incontinence	Urinary incontinence	21.Symptoms, signs or clinical findings, not elsewhere classified
2B31.2	朗格汉斯细胞组织细胞增多症	Langerhans cell histiocytosis	Langerhans cell histiocytosis	02.Neoplasms
DB96.1Z	未特指的原发性胆汁性胆管炎	Primary biliary cholangitis, unspecified	Primary biliary cholangitis, unspecified	13.Diseases of the digestive system
DB99.6	肝内胆汁淤积，不可归类在他处者	Intrahepatic cholestasis, not elsewhere classified	Intrahepatic cholestasis, not elsewhere classified	13.Diseases of the digestive system
1E51.2	慢性丁型肝炎	Chronic hepatitis D	Chronic hepatitis D	01.Certain infectious or parasitic diseases
DC30	胰腺囊性疾病	Cystic diseases of the pancreas	Pancreatic malfunction	13.Diseases of the digestive system
DC3Z	未特指的胰腺疾病	Diseases of pancreas, unspecified	Pancreatic malfunction	13.Diseases of the digestive system
5A4Y	其他特指的葡萄糖调节或胰腺内分泌紊乱	Other specified disorders of glucose regulation or pancreatic internal secretion	Pancreatic internal secretion disorder	05.Endocrine, nutritional or metabolic diseases
BE10	心脏切开术后综合征	Postcardiotomy syndrome	Postcardiotomy syndrome	11.Diseases of the circulatory system
4A62	白塞病	Behçet disease	Behçet disease	04.Diseases of the immune system
4A60.0	家族性地中海热	Familial Mediterranean fever	Familial Mediterranean fever	04.Diseases of the immune system
BA41.1	急性非ST段抬高型心肌梗死	Acute non-ST elevation myocardial infarction	Acute non-ST elevation myocardial infarction	11.Diseases of the circulatory system
BB20	急性心包炎	Acute pericarditis	Acute pericarditis	11.Diseases of the circulatory system
PK80	在治疗中采用与损伤或伤害有关的内科或外科操作	Medical or surgical procedure associated with injury or harm in therapeutic use	Medical/surgical procedure injury	23.External causes of morbidity or mortality
PK81	在治疗中采用与损伤或伤害有关的某些内科操作	Certain medical procedures associated with injury or harm in therapeutic use	Medical/surgical procedure injury	23.External causes of morbidity or mortality
1D01	感染性脑膜炎，不可归类在他处者	Infectious meningitis, not elsewhere classified	Infectious meningitis	01.Certain infectious or parasitic diseases
EE12	甲或甲周感染	Infections of the nail or perionychium	Nail/perionychium infection	14.Diseases of the skin
MB48	头晕和眩晕	Dizziness or giddiness	Dizziness and giddiness	21.Symptoms, signs or clinical findings, not elsewhere classified
1F6A	盘尾丝虫病	Onchocerciasis	Onchocerciasis	01.Certain infectious or parasitic diseases
8B82	三叉神经功能障碍	Disorders of trigeminal nerve	Trigeminal nerve disorder	08.Diseases of the nervous system
EG00	四肢血管舒张	Vasodilatation of extremities	Extremities vasodilatation	14.Diseases of the skin
